epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,280.996,2.61534,4.19686,3.45977,2.0505,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000662963,0.000662963,0.000662963
2,557.936,2.7024,4.12343,3.04955,2.10602,0,0.08491,0.0989,0.03519,0.00927,0.06604,0.07692,0.02578,0.00689,3.19121,4.2524,7.92514,3.20404,0,0.00131647,0.00131647,0.00131647
3,834.082,2.67096,4.08284,3.01438,2.06306,0,0.14717,0.35165,0.15141,0.04993,0.17431,0.24176,0.14235,0.05073,2.46229,3.916,3.44323,2.12364,0,0.00195677,0.00195677,0.00195677
4,1109.92,2.59567,3.98226,2.81405,1.99615,0,0.38947,0.20335,0.20267,0.05529,0.36698,0.18681,0.16964,0.05347,2.37893,3.74145,2.72091,2.04171,0,0.0019406,0.0019406,0.0019406
5,1385.68,2.51752,3.89361,2.65697,1.91612,0,0.52222,0.21978,0.26667,0.10357,0.43286,0.26374,0.28201,0.09485,2.25952,3.65771,2.42853,1.89209,0,0.0019208,0.0019208,0.0019208
6,1661.18,2.40342,3.79956,2.53342,1.86092,0,0.24134,0.32967,0.15518,0.04906,0.19387,0.23077,0.1326,0.03964,2.38357,3.77417,2.62339,1.98115,0,0.001901,0.001901,0.001901
7,1936.17,2.36985,3.72857,2.46978,1.84937,0,0.2452,0.30769,0.19088,0.07383,0.23122,0.2967,0.18504,0.06188,2.24921,3.73607,2.56283,1.90378,0,0.0018812,0.0018812,0.0018812
8,2211.28,2.36943,3.74641,2.41936,1.8443,0,0.3563,0.26767,0.27335,0.09708,0.32502,0.2967,0.25899,0.08989,2.40479,3.58947,2.58033,2.05974,0,0.0018614,0.0018614,0.0018614
9,2486.06,2.30486,3.67768,2.32902,1.79835,0,0.266,0.21978,0.19843,0.06971,0.21157,0.17582,0.1441,0.04134,2.44053,3.95757,2.7872,1.99356,0,0.0018416,0.0018416,0.0018416
10,2760.82,2.27172,3.67967,2.32403,1.78056,0,0.35059,0.28571,0.24927,0.09715,0.32533,0.2967,0.23131,0.07738,2.18006,3.69378,2.46696,1.95318,0,0.0018218,0.0018218,0.0018218
11,3035.94,2.24254,3.5908,2.23166,1.75162,0,0.55394,0.36264,0.39013,0.14287,0.53345,0.35165,0.40077,0.13119,2.20458,3.5577,2.33556,1.92497,0,0.001802,0.001802,0.001802
12,3311.37,2.23743,3.57815,2.20635,1.74809,0,0.52968,0.30943,0.35758,0.14135,0.48913,0.28571,0.29466,0.107,2.27024,3.61752,2.16329,1.91916,0,0.0017822,0.0017822,0.0017822
13,3586.41,2.21266,3.54433,2.19139,1.73646,0,0.69305,0.30769,0.40755,0.16058,0.66453,0.30769,0.39278,0.13033,2.15201,3.34989,2.05899,1.82524,0,0.0017624,0.0017624,0.0017624
14,3861.5,2.18212,3.50012,2.10398,1.70734,0,0.61736,0.28571,0.35086,0.12371,0.42742,0.31993,0.31189,0.0967,2.20617,3.71177,2.22392,1.92226,0,0.0017426,0.0017426,0.0017426
15,4136.37,2.13054,3.44857,2.06532,1.66932,0,0.53748,0.35165,0.40633,0.14319,0.53388,0.35165,0.38771,0.11728,2.23518,3.37551,2.20134,1.84128,0,0.0017228,0.0017228,0.0017228
16,4411.28,2.13313,3.44605,2.10382,1.6891,0,0.5707,0.38462,0.40269,0.15874,0.50372,0.3956,0.35732,0.11846,2.10824,3.43509,2.0249,1.82975,0,0.001703,0.001703,0.001703
17,4686.29,2.11467,3.40044,2.05104,1.67008,0,0.5027,0.38462,0.39107,0.16873,0.47093,0.36192,0.35469,0.13618,2.18134,3.44628,2.00835,1.83141,0,0.0016832,0.0016832,0.0016832
18,4961.26,2.0708,3.38594,2.0077,1.64062,0,0.44941,0.28571,0.32737,0.1441,0.44361,0.30769,0.31684,0.10889,2.14665,3.4647,2.06599,1.8644,0,0.0016634,0.0016634,0.0016634
19,5236.21,2.05605,3.34614,1.95605,1.64294,0,0.5715,0.33714,0.39071,0.14877,0.43388,0.43956,0.37997,0.12086,2.08915,3.36886,2.00716,1.79951,0,0.0016436,0.0016436,0.0016436
20,5511.03,2.05213,3.34741,1.94702,1.64118,0,0.56691,0.46032,0.444,0.17292,0.5141,0.43956,0.41079,0.13953,2.14243,3.28772,1.91168,1.81742,0,0.0016238,0.0016238,0.0016238
21,5786.26,2.03858,3.30667,1.92532,1.63216,0,0.47672,0.38462,0.36074,0.16032,0.57614,0.36264,0.3869,0.13531,2.08382,3.26882,1.99624,1.80207,0,0.001604,0.001604,0.001604
22,6061.27,1.99879,3.25863,1.83951,1.59728,0,0.52606,0.50549,0.4998,0.20077,0.49155,0.43956,0.43505,0.1675,1.98633,3.34633,1.79256,1.70884,0,0.0015842,0.0015842,0.0015842
23,6336.29,2.01316,3.21498,1.85579,1.60872,0,0.62066,0.35165,0.44379,0.16567,0.55395,0.38216,0.42599,0.13634,2.18348,3.42643,1.93456,1.84688,0,0.0015644,0.0015644,0.0015644
24,6611.45,1.9855,3.2557,1.84914,1.58482,0,0.51745,0.32995,0.37423,0.13617,0.51915,0.32967,0.34162,0.11853,2.16002,3.42178,2.02954,1.82705,0,0.0015446,0.0015446,0.0015446
25,6886.72,1.9846,3.2471,1.81673,1.57926,0,0.6148,0.42857,0.48756,0.19717,0.63709,0.43956,0.47859,0.16536,2.06143,3.49707,1.79447,1.75606,0,0.0015248,0.0015248,0.0015248
26,7162.16,1.93763,3.18539,1.73996,1.56687,0,0.65546,0.45994,0.4792,0.20894,0.63859,0.45055,0.44457,0.17806,2.0768,3.37428,1.80891,1.76488,0,0.001505,0.001505,0.001505
27,7437.88,1.91211,3.16507,1.7284,1.54424,0,0.62741,0.38863,0.46307,0.19728,0.61363,0.38462,0.44319,0.1563,2.11278,3.3931,1.92546,1.79138,0,0.0014852,0.0014852,0.0014852
28,7713.37,1.91047,3.14178,1.72187,1.53658,0,0.57963,0.47253,0.51716,0.20739,0.55571,0.45055,0.4677,0.17526,2.10977,3.31701,1.85985,1.7909,0,0.0014654,0.0014654,0.0014654
29,7988.77,1.92338,3.15034,1.72368,1.55176,0,0.62291,0.49451,0.54269,0.22495,0.63028,0.47253,0.52447,0.18985,2.05089,3.20805,1.74267,1.74362,0,0.0014456,0.0014456,0.0014456
30,8264.06,1.88547,3.10008,1.66348,1.52394,0,0.56796,0.44787,0.42343,0.17026,0.58374,0.41611,0.41279,0.14015,2.09924,3.42801,2.00788,1.77293,0,0.0014258,0.0014258,0.0014258
31,8538.73,1.84738,3.06139,1.59939,1.48943,0,0.63908,0.48648,0.50904,0.2037,0.67189,0.43956,0.49099,0.18013,2.20307,3.34503,1.81539,1.82598,0,0.001406,0.001406,0.001406
32,8813.68,1.83294,3.04966,1.61569,1.49424,0,0.66584,0.49451,0.54404,0.24522,0.63041,0.45055,0.4944,0.2059,2.13291,3.34874,1.80507,1.79601,0,0.0013862,0.0013862,0.0013862
33,9088.74,1.80207,3.0227,1.5497,1.47159,0,0.64234,0.47253,0.53078,0.23012,0.61091,0.45055,0.46609,0.19162,2.07088,3.39476,1.73839,1.77406,0,0.0013664,0.0013664,0.0013664
34,9363.51,1.76186,2.97171,1.50522,1.45682,0,0.68648,0.45055,0.49651,0.21554,0.66005,0.4481,0.48152,0.17114,2.19598,3.43541,1.7988,1.83355,0,0.0013466,0.0013466,0.0013466
35,9638.43,1.77907,2.95366,1.51775,1.45316,0,0.60926,0.47253,0.49013,0.19148,0.54104,0.48352,0.45122,0.16982,2.20052,3.48426,1.88533,1.85995,0,0.0013268,0.0013268,0.0013268
36,9913.37,1.78035,2.96328,1.50396,1.45163,0,0.64858,0.48352,0.52253,0.23409,0.62344,0.46154,0.48031,0.19186,2.12546,3.44938,1.76281,1.80025,0,0.001307,0.001307,0.001307
37,10188.3,1.73354,2.93449,1.47669,1.4345,0,0.70017,0.47253,0.51804,0.2137,0.65056,0.43956,0.46033,0.17328,2.16177,3.47269,1.76133,1.83971,0,0.0012872,0.0012872,0.0012872
38,10463.2,1.73993,2.91226,1.44049,1.43985,0,0.72503,0.56044,0.58021,0.26212,0.69556,0.53846,0.54302,0.22623,2.0798,3.35227,1.68519,1.74385,0,0.0012674,0.0012674,0.0012674
39,10738.1,1.70707,2.89725,1.42449,1.42021,0,0.61385,0.47253,0.48356,0.19294,0.57501,0.43956,0.43825,0.16757,2.24074,3.51943,1.8072,1.87984,0,0.0012476,0.0012476,0.0012476
40,11013,1.70294,2.85166,1.41037,1.40473,0,0.61675,0.44213,0.46433,0.18392,0.6445,0.38462,0.44772,0.16079,2.2429,3.49062,1.81854,1.88255,0,0.0012278,0.0012278,0.0012278
41,11287.8,1.71156,2.86795,1.42253,1.42214,0,0.58395,0.43956,0.47643,0.20563,0.63651,0.4234,0.47611,0.18707,2.23151,3.55999,1.82903,1.93956,0,0.001208,0.001208,0.001208
42,11562.8,1.68122,2.86834,1.3846,1.39493,0,0.65331,0.47632,0.50047,0.20329,0.67989,0.47253,0.46713,0.17491,2.18744,3.39191,1.78652,1.85538,0,0.0011882,0.0011882,0.0011882
43,11838.1,1.66111,2.81888,1.3524,1.38719,0,0.61871,0.48352,0.48519,0.20568,0.59711,0.45606,0.45833,0.1536,2.17539,3.51619,1.79169,1.88219,0,0.0011684,0.0011684,0.0011684
44,12113.3,1.65404,2.81178,1.34483,1.38425,0,0.66546,0.49451,0.54147,0.2254,0.64947,0.48352,0.50725,0.18602,2.20816,3.44878,1.69092,1.87802,0,0.0011486,0.0011486,0.0011486
45,12388.5,1.62678,2.77898,1.31192,1.36544,0,0.70846,0.51648,0.55589,0.24933,0.62143,0.46904,0.48496,0.1833,2.17499,3.57674,1.74924,1.88164,0,0.0011288,0.0011288,0.0011288
46,12663.4,1.62936,2.78936,1.31764,1.37218,0,0.70827,0.50693,0.57079,0.24089,0.708,0.49451,0.52331,0.20083,2.16598,3.52328,1.67346,1.88797,0,0.001109,0.001109,0.001109
