epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5572,2.94639,4.394,8.2471,1.95436,0,0.05466,0.06593,0.01268,0.00571,0.04721,0.05495,0.00943,0.00191,2.96279,8.56308,17.3892,2.00465,0,0.000648148,0.000648148,0.000648148
2,36.7511,2.56134,3.90407,3.01087,1.7169,0,0.02647,0.14286,0.01107,0.00361,0.01812,0.0989,0.00564,0.00111,2.82026,18.7014,7.08992,2.18771,0,0.00127143,0.00127143,0.00127143
3,52.6507,2.49765,3.81194,2.44771,1.66547,0,0.08317,0.0989,0.02457,0.00721,0.08018,0.05495,0.00884,0.00232,3.11293,23.7274,3.89306,2.38872,0,0.0018507,0.0018507,0.0018507
4,68.4258,2.47856,3.78157,2.45254,1.71024,0,0.00162,0.05495,0.00044,0.00021,0.00162,0.05495,0.00044,0.0002,3.15145,58.8071,66.6726,3.0915,0,0.001802,0.001802,0.001802
5,84.3187,2.43869,3.61596,2.31776,1.66591,0,0.00653,0.06593,0.0017,0.00055,0.00437,0.04396,0.00077,0.00026,3.07121,9.95807,7.51283,2.30346,0,0.001736,0.001736,0.001736
6,100.044,2.42014,3.63039,2.18779,1.63208,0,0.01932,0.32967,0.01308,0.00468,0.0187,0.28571,0.01025,0.00315,2.69622,5.94654,14.9662,2.20014,0,0.00167,0.00167,0.00167
7,115.733,2.35529,3.52158,2.13455,1.61527,0,0.36979,0.25275,0.2485,0.10271,0.39498,0.25275,0.21251,0.07062,2.49238,4.15938,2.59331,1.78938,0,0.001604,0.001604,0.001604
8,131.619,2.33153,3.47895,2.0825,1.60096,0,0.37436,0.2959,0.20622,0.0704,0.31977,0.25275,0.18571,0.05287,2.41215,3.75296,2.33286,1.79942,0,0.001538,0.001538,0.001538
9,147.31,2.24079,3.42686,2.0718,1.57303,0,0.50758,0.35165,0.31893,0.1069,0.48992,0.34066,0.29297,0.09085,2.37353,3.70784,2.18599,1.76292,0,0.001472,0.001472,0.001472
10,163.115,2.17122,3.33194,1.87925,1.52727,0,0.40396,0.32967,0.32976,0.1376,0.4987,0.32967,0.32904,0.11961,2.18726,3.64026,2.5187,1.71138,0,0.001406,0.001406,0.001406
11,178.841,2.13167,3.25396,1.87138,1.51306,0,0.37494,0.31868,0.30209,0.12323,0.41595,0.32967,0.30926,0.10281,2.20097,3.77045,2.21341,1.63768,0,0.00134,0.00134,0.00134
12,194.484,2.11458,3.23627,1.84458,1.51532,0,0.50306,0.37363,0.36293,0.15189,0.52466,0.33964,0.36036,0.13097,2.16068,3.61179,2.10882,1.58498,0,0.001274,0.001274,0.001274
13,210.213,2.08472,3.22374,1.71988,1.44984,0,0.51794,0.38462,0.37724,0.13845,0.55858,0.30769,0.33142,0.10187,2.22543,3.63331,2.05668,1.60215,0,0.001208,0.001208,0.001208
14,225.914,1.99207,3.11818,1.67989,1.44703,0,0.51592,0.27473,0.33941,0.12353,0.51592,0.27473,0.3105,0.10088,2.19378,3.74544,2.06221,1.64195,0,0.001142,0.001142,0.001142
15,241.659,2.06513,3.18804,1.7265,1.46293,0,0.54815,0.40659,0.42293,0.15479,0.55048,0.38462,0.3799,0.11797,2.25633,3.59007,1.98081,1.61137,0,0.001076,0.001076,0.001076
16,257.217,2.0108,3.13246,1.67737,1.40334,0,0.52344,0.37418,0.39728,0.14872,0.59914,0.34066,0.35626,0.10731,2.29345,3.53511,2.08107,1.64313,0,0.00101,0.00101,0.00101
17,272.868,1.96583,3.02438,1.61984,1.41042,0,0.66058,0.34066,0.39822,0.15958,0.63406,0.34276,0.3568,0.12858,2.16325,3.52716,2.00936,1.60523,0,0.000944,0.000944,0.000944
18,288.642,1.91533,3.02635,1.55743,1.38133,0,0.68537,0.38462,0.44081,0.17507,0.60704,0.34066,0.3935,0.1431,2.13076,3.45291,1.93999,1.56909,0,0.000878,0.000878,0.000878
19,304.479,1.90181,2.93394,1.50291,1.39941,0,0.60784,0.37363,0.44051,0.18442,0.50204,0.32967,0.38278,0.14241,2.09568,3.62613,1.91453,1.5598,0,0.000812,0.000812,0.000812
20,320.217,1.89368,2.90292,1.50945,1.37894,0,0.49659,0.46154,0.44833,0.18647,0.5097,0.34066,0.4014,0.15039,2.08228,3.41078,1.89412,1.52865,0,0.000746,0.000746,0.000746
21,338.32,1.84422,2.95956,1.54181,1.4453,0,0.61128,0.44931,0.45296,0.19549,0.54853,0.45055,0.42113,0.15044,2.0695,3.37951,1.82384,1.53497,0,0.00068,0.00068,0.00068
22,354.297,1.82396,2.8807,1.51993,1.42307,0,0.67152,0.34066,0.4421,0.19292,0.67152,0.34066,0.41565,0.13969,2.07752,3.50771,1.83141,1.49105,0,0.000614,0.000614,0.000614
23,369.962,1.78844,2.82261,1.42379,1.37123,0,0.61127,0.41758,0.48941,0.20214,0.52714,0.47253,0.44476,0.15585,2.06435,3.49015,1.77547,1.4839,0,0.000548,0.000548,0.000548
24,385.582,1.78546,2.79837,1.37916,1.38428,0,0.61843,0.47253,0.47422,0.20156,0.60801,0.46154,0.4207,0.14548,2.05644,3.38482,1.75669,1.51411,0,0.000482,0.000482,0.000482
25,401.158,1.74388,2.67234,1.3706,1.37413,0,0.67387,0.40659,0.44938,0.19199,0.49737,0.47253,0.41711,0.16297,2.09604,3.35418,1.7458,1.54876,0,0.000416,0.000416,0.000416
26,416.892,1.68039,2.6939,1.28102,1.34465,0,0.77998,0.3956,0.46885,0.20626,0.71777,0.38462,0.44239,0.15789,2.04278,3.47439,1.81302,1.51098,0,0.00035,0.00035,0.00035
27,432.612,1.70994,2.62338,1.26617,1.35559,0,0.59397,0.46154,0.46829,0.21614,0.59397,0.46154,0.44947,0.16911,1.98825,3.43792,1.73902,1.48902,0,0.000284,0.000284,0.000284
28,448.329,1.66611,2.63159,1.24546,1.33697,0,0.68728,0.45055,0.46745,0.20183,0.65897,0.42857,0.4267,0.16007,2.01708,3.39419,1.74982,1.50923,0,0.000218,0.000218,0.000218
29,463.868,1.60033,2.49078,1.17813,1.27961,0,0.73191,0.42857,0.49898,0.23876,0.73191,0.42857,0.46314,0.17885,1.98628,3.42391,1.67969,1.48259,0,0.000152,0.000152,0.000152
30,479.441,1.62211,2.50193,1.17656,1.29248,0,0.71282,0.46372,0.50197,0.2341,0.69593,0.45273,0.46931,0.17325,1.98007,3.44662,1.64337,1.47728,0,8.6e-05,8.6e-05,8.6e-05
