epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,182.753,2.71299,4.23223,3.31181,1.92281,0,0.0105,0.05495,0.00471,0.00138,0.00841,0.04396,0.00372,0.00119,3.20959,6.42288,inf,3.40526,0,0.000662963,0.000662963,0.000662963
2,359.3,2.78251,4.20954,2.9802,1.91314,0,0.00348,0.02198,0.00178,0.00036,0.00348,0.02198,0.00178,0.0008,3.07853,4.29021,10.5213,2.12859,0,0.00131866,0.00131866,0.00131866
3,535.389,2.75905,4.09375,2.91083,1.90497,0,0.25911,0.23077,0.17121,0.06387,0.26944,0.24176,0.1736,0.05717,2.7121,3.9197,5.67685,2.03184,0,0.00196336,0.00196336,0.00196336
4,711.285,2.64602,3.98225,2.69081,1.81889,0,0.15133,0.30769,0.16348,0.05538,0.22547,0.16484,0.16145,0.04505,2.52523,3.65252,2.73844,1.85255,0,0.0019505,0.0019505,0.0019505
5,887.127,2.57735,3.89584,2.54531,1.75076,0,0.1974,0.16484,0.15548,0.04971,0.29161,0.16484,0.16253,0.04923,2.5851,3.87241,2.90016,1.84034,0,0.001934,0.001934,0.001934
6,1062.85,2.5218,3.86207,2.48502,1.75208,0,0.43809,0.25275,0.22077,0.07155,0.4348,0.24176,0.21605,0.06183,2.36221,3.80352,2.44485,1.83366,0,0.0019175,0.0019175,0.0019175
7,1238.74,2.46404,3.75944,2.373,1.71542,0,0.27765,0.2967,0.25106,0.08531,0.24638,0.31868,0.20798,0.06514,2.32848,3.88866,2.27363,1.75354,0,0.001901,0.001901,0.001901
8,1414.73,2.43881,3.74096,2.33245,1.68734,0,0.34963,0.23077,0.22964,0.0959,0.29213,0.23129,0.20576,0.0636,2.3191,3.61829,2.26823,1.71113,0,0.0018845,0.0018845,0.0018845
9,1590.71,2.38752,3.66765,2.21988,1.653,0,0.38265,0.33378,0.27772,0.09953,0.38265,0.33378,0.28037,0.08892,2.28725,3.70869,2.20528,1.75624,0,0.001868,0.001868,0.001868
10,1766.65,2.34845,3.67095,2.23453,1.6411,0,0.59453,0.29009,0.34279,0.12953,0.59989,0.28571,0.34665,0.11424,2.15077,3.41575,2.13414,1.63053,0,0.0018515,0.0018515,0.0018515
11,1942.6,2.31871,3.59934,2.17317,1.61904,0,0.50894,0.41758,0.39551,0.14795,0.42259,0.45055,0.36082,0.128,2.21849,3.41918,2.04433,1.70001,0,0.001835,0.001835,0.001835
12,2118.52,2.31628,3.59404,2.12022,1.61979,0,0.43801,0.26374,0.35322,0.14162,0.46632,0.27473,0.3507,0.11836,2.21008,3.55078,2.09514,1.6949,0,0.0018185,0.0018185,0.0018185
13,2294.52,2.28005,3.53747,2.08691,1.60569,0,0.7164,0.27473,0.36037,0.13913,0.68629,0.26374,0.34544,0.11808,2.2179,3.42189,2.20252,1.61936,0,0.001802,0.001802,0.001802
14,2470.45,2.25959,3.5023,2.03055,1.58592,0,0.41067,0.32165,0.27816,0.09941,0.40959,0.32021,0.27645,0.08358,2.25453,3.55229,2.51905,1.68894,0,0.0017855,0.0017855,0.0017855
15,2646.35,2.21104,3.44999,2.01389,1.56077,0,0.54536,0.44821,0.48555,0.16872,0.53603,0.40659,0.45053,0.14648,2.27569,3.46273,1.88125,1.65179,0,0.001769,0.001769,0.001769
16,2822.36,2.19866,3.44159,1.99236,1.56207,0,0.5212,0.3956,0.41792,0.18225,0.50673,0.38462,0.39505,0.13967,2.14323,3.43009,1.89245,1.60182,0,0.0017525,0.0017525,0.0017525
17,2998.54,2.176,3.38365,1.95098,1.55206,0,0.65031,0.31868,0.41017,0.15587,0.48394,0.40659,0.3748,0.12012,2.08301,3.38022,1.94559,1.62237,0,0.001736,0.001736,0.001736
18,3174.53,2.14306,3.38745,1.92887,1.53645,0,0.60306,0.36735,0.43497,0.1779,0.68142,0.30769,0.39565,0.1327,2.24997,3.62912,1.96187,1.72342,0,0.0017195,0.0017195,0.0017195
19,3350.43,2.12906,3.37555,1.89061,1.52927,0,0.62908,0.35414,0.40459,0.15189,0.61051,0.34454,0.38242,0.13223,2.25082,3.4656,2.04855,1.67007,0,0.001703,0.001703,0.001703
20,3526.1,2.13531,3.34822,1.86885,1.5411,0,0.64233,0.37499,0.47881,0.19302,0.62351,0.364,0.43579,0.14767,2.13043,3.32017,1.89655,1.63587,0,0.0016865,0.0016865,0.0016865
21,3702.15,2.08464,3.31197,1.85868,1.51697,0,0.45319,0.40659,0.39538,0.15307,0.46056,0.40347,0.3865,0.13572,2.17529,3.46499,2.07955,1.70631,0,0.00167,0.00167,0.00167
22,3877.99,2.04844,3.26476,1.77543,1.49107,0,0.61155,0.45055,0.50193,0.22305,0.56976,0.43661,0.45234,0.17376,2.05356,3.20128,1.74174,1.56849,0,0.0016535,0.0016535,0.0016535
23,4053.83,2.07809,3.29562,1.82675,1.49867,0,0.67712,0.35165,0.42452,0.16277,0.5527,0.37363,0.40363,0.13317,2.13677,3.32241,1.95533,1.64005,0,0.001637,0.001637,0.001637
24,4229.53,2.02799,3.27087,1.78414,1.47062,0,0.70693,0.3956,0.48314,0.1954,0.68729,0.38462,0.4419,0.1588,2.11497,3.44206,1.82021,1.62362,0,0.0016205,0.0016205,0.0016205
25,4405.41,2.02272,3.23762,1.74921,1.47116,0,0.59938,0.42857,0.44989,0.19941,0.56864,0.40659,0.41599,0.14974,2.09847,3.42586,2.00734,1.58686,0,0.001604,0.001604,0.001604
26,4581.2,2.00246,3.20293,1.71985,1.46245,0,0.55344,0.41758,0.45657,0.19091,0.57044,0.34066,0.42603,0.1625,2.0711,3.29326,1.86039,1.59981,0,0.0015875,0.0015875,0.0015875
27,4757.09,1.99404,3.20031,1.69469,1.45266,0,0.63132,0.42857,0.47252,0.2051,0.61513,0.41758,0.45088,0.14757,2.14818,3.31795,1.84111,1.62212,0,0.001571,0.001571,0.001571
28,4933.03,1.98741,3.14654,1.69541,1.45047,0,0.61495,0.48352,0.50367,0.21083,0.55223,0.48352,0.44553,0.16152,2.06804,3.34807,1.75037,1.56129,0,0.0015545,0.0015545,0.0015545
